Meets/Tests Rate,Masters/Test Rate,Approaches/Test Rate,Meets/ELA-Reading,Masters/ELA-Reading,Approaches/ELA-Reading,CAMPUSID,School,# Enrolled,% Enrolled,# Econ Disadv,% Econ Disadv,# LEP,% LEP,# Special Ed,% Special Ed,Grade Span
0.0,0.0,55.0,-1.0,-1.0,-1.0,7905005,PLEASANTON ISD SCHOOL OF CHOICE,5,100.0,4,80.0,0,0.0,1,20.0,'11 - 12
33.0,13.0,65.0,32.0,16.0,62.0,7905041,PLEASANTON J H,794,100.0,489,61.599998,29,3.7,89,11.2,'06 - 08
32.0,15.0,63.0,31.0,13.0,63.0,7905103,PLEASANTON EL,806,74.400002,695,64.199997,52,4.8000002,112,10.3,'02 - 05
39.0,7.0,66.0,41.0,6.0,59.0,7906001,POTEET H S,480,100.0,331,69.0,12,2.5,52,10.8,'09 - 12
32.0,11.0,68.0,35.0,14.0,71.0,7906041,POTEET J H,382,100.0,302,79.099998,18,4.6999998,37,9.6999998,'06 - 08
34.0,13.0,71.0,34.0,17.0,73.0,7906101,POTEET EL,137,23.700001,501,86.800003,48,8.300000200000001,35,6.0999999,'EE - 03
39.0,15.0,72.0,37.0,9.0,75.0,7906102,POTEET INT,253,100.0,209,82.599998,18,7.099999900000001,23,9.1000004,'04 - 05
54.0,16.0,80.0,52.0,11.0,72.0,8901001,BELLVILLE H S,714,100.0,313,43.799999,34,4.8000002,55,7.6999998,'09 - 12
48.0,24.0,81.0,51.0,28.0,80.0,8901041,BELLVILLE J H,518,100.0,255,49.200001,36,6.900000099999999,56,10.8,'06 - 08
47.0,27.0,78.0,47.0,30.0,77.0,8901101,O'BRYANT PRI,147,26.9,316,57.900002,74,13.6,59,10.8,'EE - 03
44.0,21.0,72.0,46.0,23.0,79.0,8901102,O'BRYANT INT,295,100.0,164,55.599998,35,11.9,37,12.5,'04 - 05
51.0,29.0,89.0,59.0,32.0,96.0,8901105,WEST END EL,74,50.0,52,35.099998,8,5.4000001,9,6.0999999,'KG - 05
52.0,20.0,74.0,44.0,9.0,63.0,8902001,SEALY H S,804,100.0,436,54.200001,78,9.6999998,70,8.6999998,'09 - 12
46.0,19.0,78.0,42.0,20.0,74.0,8902041,SEALY J H,607,100.0,337,55.5,69,11.4,79,13.0,'06 - 08
46.0,23.0,76.0,46.0,23.0,76.0,8902102,SELMAN EL,333,50.5,424,64.300003,132,20.0,74,11.2,'EE - 05
32.0,15.0,69.0,33.0,19.0,74.0,8902104,SEALY EL,319,46.799999,439,64.5,127,18.6,45,6.599999900000001,'PK - 05
59.0,20.0,84.0,53.0,7.0,72.0,8903001,BRAZOS H S,217,100.0,106,48.799999,20,9.1999998,16,7.400000099999999,'09 - 12
58.0,29.0,86.0,51.0,26.0,82.0,8903041,BRAZOS MIDDLE,204,100.0,121,59.299999,29,14.2,15,7.400000099999999,'06 - 08
34.0,16.0,71.0,36.0,18.0,72.0,8903102,BRAZOS EL,178,52.400002,238,70.0,79,23.200001,37,10.9,'EE - 05
0.0,0.0,0.0,0.0,0.0,0.0,8903103,PRAIRIE HARBOR ALTERNATIVE SCHOOL,64,100.0,64,100.0,0,0.0,24,37.5,'04 - 12
44.0,15.0,71.0,32.0,4.0,56.0,9901001,MULESHOE H S,349,100.0,288,82.5,28,8.0,51,14.6,'09 - 12
20.0,0.0,60.0,-1.0,-1.0,-1.0,9901002,P E P,14,100.0,14,100.0,1,7.099999900000001,1,7.099999900000001,'09 - 12
32.0,10.0,69.0,34.0,11.0,70.0,9901041,WATSON J H,340,100.0,291,85.599998,54,15.9,47,13.8,'06 - 08
28.0,12.0,59.0,28.0,11.0,64.0,9901101,MARY DESHAZO EL,319,100.0,282,88.400002,102,32.0,46,14.4,'03 - 05
43.0,16.0,78.0,49.0,15.0,78.0,10901001,MEDINA SCHOOL,212,69.300003,189,61.799999,5,1.6,37,12.1,'PK - 12
49.0,16.0,72.0,45.0,5.0,64.0,10902001,BANDERA H S,640,100.0,286,44.700001,9,1.4,73,11.4,'09 - 12
40.0,17.0,72.0,43.0,20.0,72.0,10902041,BANDERA MIDDLE,530,100.0,262,49.400002,24,4.5,70,13.2,'06 - 08
43.0,22.0,75.0,44.0,23.0,73.0,10902101,ALKEK EL,245,43.0,339,59.5,42,7.400000099999999,73,12.8,'EE - 05
38.0,19.0,72.0,45.0,25.0,75.0,10902102,HILL COUNTRY EL,232,47.299999,305,62.200001,22,4.5,63,12.9,'PK - 05
43.0,14.0,65.0,38.0,5.0,56.0,11901001,BASTROP H S,1466,100.0,813,55.5,170,11.6,149,10.2,'09 - 12
42.0,13.0,68.0,35.0,5.0,56.0,11901002,CEDAR CREEK H S,1572,100.0,1058,67.300003,327,20.799999,156,9.8999996,'09 - 12
85.0,34.0,98.0,75.0,8.0,96.0,11901005,COLORADO RIVER COLLEGIATE ACADEMY,206,100.0,124,60.200001,6,2.9000001,4,1.9,'09 - 12
14.0,4.0,40.0,9.0,1.0,20.0,11901022,GENESIS H S,112,100.0,98,87.5,27,24.1,15,13.4,'09 - 12
35.0,15.0,64.0,35.0,19.0,65.0,11901041,BASTROP MIDDLE,820,100.0,508,62.0,146,17.799999,93,11.3,'07 - 08
36.0,18.0,63.0,38.0,19.0,65.0,11901101,EMILE EL,269,38.0,452,63.900002,178,25.200001,71,10.0,'PK - 04
52.0,29.0,84.0,55.0,35.0,88.0,11901102,MINA EL,244,37.5,369,56.799999,26,4.0,98,15.1,'EE - 04
36.0,18.0,64.0,31.0,16.0,62.0,11901103,CEDAR CREEK EL,295,38.400002,662,86.199997,484,63.0,69,9.0,'EE - 04
39.0,19.0,69.0,32.0,16.0,62.0,11901104,BASTROP INT,825,100.0,561,68.0,162,19.6,99,12.0,'05 - 06
29.0,11.0,62.0,33.0,15.0,66.0,11901106,CEDAR CREEK MIDDLE,920,100.0,709,77.099998,282,30.700001,100,10.9,'07 - 08
25.0,10.0,58.0,25.0,13.0,58.0,11901107,RED ROCK EL,245,39.099998,530,84.699997,318,50.799999,74,11.8,'PK - 04
34.0,15.0,65.0,27.0,12.0,59.0,11901108,CEDAR CREEK INT,930,100.0,723,77.699997,334,35.900002,125,13.4,'05 - 06
