Meets/Tests Rate,Masters/Test Rate,Approaches/Test Rate,Meets/ELA-Reading,Masters/ELA-Reading,Approaches/ELA-Reading,CAMPUSID
70.0,26.0,87.0,66.0,13.0,81.0,14905001
59.0,28.0,87.0,54.0,24.0,86.0,14905041
59.0,30.0,91.0,67.0,33.0,96.0,14905101
42.0,9.0,69.0,38.0,2.0,60.0,14906001
49.0,12.0,73.0,43.0,2.0,62.0,14906002
19.0,6.0,61.0,15.0,1.0,43.0,14906006
60.0,19.0,81.0,56.0,4.0,74.0,14906007
39.0,10.0,64.0,34.0,2.0,54.0,14906008
89.0,40.0,98.0,85.0,16.0,95.0,14906013
31.0,11.0,65.0,33.0,12.0,65.0,14906042
33.0,13.0,66.0,32.0,15.0,65.0,14906043
32.0,11.0,64.0,30.0,12.0,63.0,14906044
39.0,15.0,72.0,40.0,19.0,71.0,14906046
27.0,8.0,61.0,28.0,9.0,64.0,14906048
47.0,22.0,78.0,42.0,21.0,75.0,14906049
32.0,12.0,66.0,33.0,14.0,68.0,14906050
60.0,34.0,87.0,59.0,35.0,87.0,14906051
49.0,22.0,82.0,48.0,22.0,80.0,14906052
47.0,20.0,80.0,43.0,20.0,78.0,14906053
47.0,22.0,80.0,43.0,21.0,78.0,14906054
55.0,30.0,82.0,52.0,28.0,83.0,14906102
33.0,16.0,63.0,30.0,13.0,64.0,14906103
43.0,20.0,80.0,39.0,19.0,82.0,14906105
36.0,19.0,67.0,39.0,19.0,72.0,14906108
36.0,17.0,70.0,30.0,14.0,69.0,14906109
37.0,18.0,70.0,34.0,15.0,73.0,14906110
30.0,14.0,60.0,30.0,13.0,61.0,14906111
21.0,9.0,57.0,22.0,8.0,55.0,14906112
36.0,17.0,68.0,34.0,17.0,65.0,14906113
49.0,23.0,73.0,49.0,22.0,73.0,14906115
65.0,42.0,89.0,61.0,44.0,87.0,14906116
39.0,17.0,75.0,39.0,16.0,73.0,14906119
32.0,14.0,64.0,30.0,13.0,69.0,14906120
47.0,25.0,81.0,47.0,28.0,83.0,14906121
41.0,17.0,74.0,42.0,18.0,79.0,14906122
57.0,30.0,86.0,55.0,25.0,85.0,14906123
51.0,25.0,83.0,50.0,26.0,86.0,14906124
37.0,17.0,73.0,38.0,17.0,73.0,14906125
52.0,32.0,80.0,49.0,30.0,81.0,14906126
37.0,17.0,70.0,36.0,17.0,71.0,14906127
57.0,33.0,85.0,55.0,33.0,89.0,14906128
32.0,13.0,71.0,31.0,14.0,76.0,14906129
45.0,24.0,77.0,41.0,24.0,71.0,14906130
41.0,16.0,74.0,42.0,16.0,76.0,14906131
45.0,26.0,85.0,47.0,31.0,83.0,14906132
40.0,21.0,73.0,41.0,21.0,76.0,14906133
46.0,24.0,77.0,49.0,27.0,80.0,14906135
52.0,30.0,81.0,51.0,32.0,81.0,14906136
45.0,21.0,81.0,42.0,18.0,79.0,14906137
39.0,18.0,73.0,40.0,21.0,76.0,14906138
46.0,23.0,80.0,45.0,24.0,81.0,14906139
50.0,26.0,83.0,49.0,26.0,85.0,14906140
66.0,19.0,84.0,60.0,6.0,75.0,14907001
54.0,27.0,82.0,53.0,29.0,82.0,14907041
44.0,24.0,77.0,43.0,27.0,83.0,14907102
60.0,19.0,84.0,61.0,12.0,78.0,14908001
0.0,0.0,0.0,0.0,0.0,0.0,14908005
0.0,0.0,0.0,0.0,0.0,0.0,14908041
55.0,26.0,84.0,56.0,31.0,82.0,14908042
54.0,26.0,83.0,57.0,28.0,85.0,14908102
46.0,15.0,71.0,36.0,4.0,58.0,14909002
12.0,2.0,49.0,12.0,0.0,29.0,14909008
30.0,9.0,64.0,32.0,13.0,61.0,14909041
30.0,11.0,63.0,28.0,13.0,58.0,14909042
39.0,15.0,69.0,39.0,18.0,68.0,14909044
39.0,20.0,75.0,39.0,23.0,80.0,14909102
46.0,22.0,76.0,44.0,22.0,74.0,14909107
35.0,18.0,68.0,33.0,20.0,71.0,14909110
33.0,17.0,65.0,32.0,16.0,66.0,14909111
37.0,16.0,75.0,35.0,15.0,76.0,14909114
38.0,18.0,71.0,35.0,17.0,69.0,14909116
52.0,27.0,81.0,57.0,27.0,87.0,14909117
38.0,16.0,71.0,37.0,16.0,69.0,14909118
65.0,19.0,86.0,62.0,11.0,79.0,14910001
52.0,23.0,80.0,45.0,22.0,75.0,14910041
48.0,20.0,80.0,42.0,19.0,81.0,14910101
17.0,3.0,51.0,13.0,1.0,38.0,15801001
42.0,15.0,63.0,39.0,9.0,55.0,15801002
8.0,0.0,46.0,10.0,0.0,27.0,15801003
37.0,17.0,69.0,31.0,16.0,63.0,15802001
28.0,11.0,67.0,24.0,9.0,67.0,15802004
66.0,18.0,90.0,64.0,5.0,86.0,15805001
25.0,9.0,53.0,26.0,13.0,54.0,15805041
48.0,18.0,77.0,42.0,2.0,67.0,15806003
22.0,7.0,60.0,28.0,13.0,70.0,15806041
34.0,15.0,71.0,33.0,14.0,68.0,15806101
25.0,8.0,58.0,29.0,10.0,60.0,15806106
17.0,7.0,48.0,23.0,11.0,54.0,15807001
21.0,8.0,51.0,24.0,7.0,49.0,15807002
31.0,8.0,61.0,37.0,8.0,62.0,15807004
23.0,9.0,55.0,24.0,4.0,52.0,15807005
11.0,5.0,35.0,15.0,7.0,39.0,15807101
33.0,13.0,68.0,27.0,18.0,66.0,15807102
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15808001
0.0,0.0,0.0,0.0,0.0,0.0,15808003
0.0,0.0,0.0,0.0,0.0,0.0,15808006
0.0,0.0,0.0,0.0,0.0,0.0,15808007
42.0,17.0,74.0,50.0,21.0,80.0,15808009
-1.0,-1.0,-1.0,0.0,0.0,0.0,15808010
0.0,0.0,0.0,0.0,0.0,0.0,15808011
0.0,0.0,0.0,0.0,0.0,0.0,15808012
0.0,0.0,0.0,0.0,0.0,0.0,15808014
27.0,8.0,65.0,26.0,11.0,62.0,15809101
21.0,2.0,57.0,23.0,0.0,45.0,15814001
21.0,10.0,56.0,21.0,11.0,55.0,15815001
52.0,18.0,81.0,35.0,3.0,67.0,15815041
37.0,17.0,71.0,42.0,19.0,73.0,15815042
47.0,21.0,80.0,56.0,38.0,84.0,15815101
54.0,27.0,87.0,46.0,26.0,85.0,15815104
26.0,9.0,60.0,29.0,10.0,60.0,15822001
22.0,8.0,55.0,27.0,11.0,62.0,15822002
17.0,4.0,44.0,18.0,4.0,43.0,15822004
35.0,14.0,74.0,39.0,16.0,73.0,15822005
32.0,13.0,68.0,34.0,15.0,69.0,15822006
51.0,26.0,85.0,53.0,27.0,91.0,15822007
41.0,20.0,71.0,48.0,23.0,73.0,15822008
35.0,16.0,66.0,38.0,18.0,67.0,15822009
40.0,16.0,74.0,42.0,15.0,74.0,15822010
21.0,7.0,58.0,24.0,8.0,60.0,15822011
31.0,10.0,68.0,28.0,9.0,65.0,15825001
64.0,30.0,88.0,65.0,24.0,85.0,15827001
65.0,37.0,89.0,57.0,30.0,87.0,15827002
37.0,19.0,71.0,42.0,24.0,76.0,15827003
25.0,11.0,64.0,29.0,13.0,72.0,15827004
46.0,18.0,75.0,47.0,16.0,72.0,15828001
35.0,15.0,69.0,39.0,16.0,71.0,15828002
46.0,21.0,79.0,42.0,21.0,76.0,15828003
40.0,17.0,75.0,38.0,17.0,73.0,15828004
38.0,18.0,70.0,36.0,15.0,68.0,15828005
43.0,20.0,76.0,42.0,24.0,76.0,15828006
54.0,24.0,83.0,54.0,23.0,79.0,15828007
67.0,27.0,85.0,59.0,14.0,76.0,15828008
27.0,9.0,62.0,31.0,10.0,64.0,15830001
35.0,13.0,69.0,41.0,17.0,71.0,15830101
45.0,18.0,72.0,49.0,23.0,81.0,15830102
57.0,34.0,82.0,59.0,29.0,87.0,15830103
53.0,28.0,82.0,53.0,29.0,81.0,15831001
47.0,20.0,78.0,47.0,20.0,76.0,15831002
57.0,27.0,88.0,58.0,30.0,89.0,15831003
58.0,38.0,84.0,62.0,46.0,89.0,15831004
59.0,26.0,91.0,62.0,31.0,90.0,15831005
52.0,18.0,82.0,50.0,6.0,70.0,15833001
88.0,62.0,98.0,87.0,58.0,97.0,15834001
65.0,42.0,89.0,71.0,47.0,94.0,15834002
75.0,50.0,94.0,75.0,52.0,94.0,15834101
67.0,40.0,92.0,66.0,40.0,95.0,15835001
68.0,32.0,91.0,71.0,35.0,92.0,15835002
67.0,37.0,93.0,69.0,38.0,95.0,15835003
72.0,41.0,91.0,75.0,42.0,91.0,15835004
30.0,12.0,65.0,35.0,18.0,72.0,15835005
68.0,35.0,93.0,70.0,40.0,93.0,15836001
40.0,18.0,75.0,41.0,23.0,73.0,15838001
68.0,29.0,87.0,64.0,15.0,81.0,15901001
63.0,35.0,87.0,65.0,39.0,87.0,15901041
49.0,26.0,79.0,57.0,32.0,85.0,15901101
59.0,34.0,86.0,65.0,39.0,89.0,15901104
47.0,13.0,73.0,39.0,4.0,61.0,15904001
47.0,15.0,73.0,39.0,3.0,61.0,15904002
12.0,1.0,43.0,7.0,0.0,25.0,15904004
68.0,22.0,92.0,69.0,13.0,90.0,15904011
40.0,16.0,75.0,36.0,15.0,70.0,15904041
34.0,15.0,68.0,32.0,16.0,67.0,15904042
39.0,16.0,71.0,34.0,12.0,67.0,15904043
38.0,15.0,72.0,35.0,14.0,70.0,15904044
15.0,4.0,50.0,22.0,7.0,59.0,15904048
43.0,11.0,79.0,47.0,16.0,82.0,15904101
34.0,14.0,69.0,30.0,13.0,71.0,15904102
39.0,20.0,77.0,34.0,19.0,74.0,15904103
29.0,13.0,62.0,30.0,14.0,66.0,15904104
30.0,12.0,63.0,26.0,8.0,58.0,15904105
31.0,13.0,64.0,31.0,11.0,66.0,15904106
49.0,22.0,81.0,46.0,20.0,81.0,15904107
46.0,22.0,77.0,47.0,26.0,76.0,15904108
47.0,22.0,81.0,47.0,23.0,82.0,15904109
35.0,13.0,70.0,36.0,15.0,74.0,15904110
47.0,26.0,77.0,44.0,25.0,75.0,15904113
33.0,14.0,72.0,36.0,17.0,73.0,15904114
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15904115
38.0,18.0,70.0,36.0,15.0,69.0,15904116
36.0,9.0,66.0,28.0,2.0,53.0,15905002
39.0,12.0,65.0,29.0,2.0,51.0,15905003
46.0,13.0,70.0,32.0,2.0,54.0,15905015
25.0,9.0,55.0,26.0,10.0,60.0,15905041
0.0,0.0,0.0,0.0,0.0,0.0,15905042
26.0,10.0,56.0,30.0,12.0,59.0,15905044
26.0,9.0,60.0,25.0,9.0,59.0,15905046
36.0,14.0,73.0,33.0,12.0,78.0,15905104
25.0,8.0,60.0,29.0,7.0,61.0,15905106
23.0,9.0,62.0,20.0,7.0,65.0,15905108
26.0,9.0,63.0,28.0,11.0,68.0,15905109
18.0,5.0,46.0,15.0,4.0,46.0,15905110
26.0,9.0,58.0,26.0,12.0,62.0,15905112
22.0,8.0,54.0,24.0,10.0,59.0,15905113
24.0,10.0,63.0,21.0,6.0,58.0,15905114
21.0,9.0,54.0,22.0,12.0,59.0,15905116
24.0,9.0,54.0,26.0,8.0,55.0,15905117
76.0,32.0,94.0,76.0,17.0,93.0,15906001
66.0,35.0,92.0,65.0,41.0,92.0,15906041
75.0,48.0,95.0,71.0,44.0,94.0,15906101
43.0,9.0,72.0,34.0,3.0,57.0,15907001
33.0,6.0,63.0,29.0,2.0,52.0,15907002
34.0,8.0,64.0,25.0,1.0,47.0,15907003
68.0,20.0,91.0,63.0,5.0,83.0,15907004
37.0,10.0,65.0,27.0,3.0,51.0,15907005
27.0,7.0,55.0,23.0,3.0,43.0,15907006
35.0,6.0,67.0,30.0,1.0,52.0,15907007
25.0,5.0,54.0,17.0,1.0,39.0,15907008
0.0,0.0,0.0,0.0,0.0,0.0,15907010
0.0,0.0,0.0,0.0,0.0,0.0,15907020
94.0,42.0,99.0,94.0,24.0,99.0,15907022
89.0,59.0,100.0,86.0,47.0,100.0,15907023
17.0,4.0,45.0,11.0,0.0,30.0,15907024
65.0,19.0,90.0,54.0,6.0,80.0,15907025
52.0,22.0,82.0,58.0,25.0,85.0,15907026
64.0,11.0,86.0,68.0,8.0,83.0,15907027
7.0,0.0,34.0,8.0,0.0,21.0,15907030
23.0,11.0,53.0,22.0,11.0,50.0,15907043
24.0,6.0,59.0,25.0,10.0,57.0,15907047
37.0,17.0,73.0,31.0,16.0,72.0,15907049
25.0,10.0,58.0,26.0,11.0,59.0,15907050
19.0,6.0,52.0,22.0,8.0,53.0,15907051
17.0,4.0,40.0,25.0,6.0,52.0,15907053
23.0,7.0,55.0,26.0,10.0,58.0,15907054
28.0,11.0,60.0,27.0,13.0,57.0,15907055
19.0,8.0,48.0,20.0,8.0,46.0,15907057
37.0,14.0,72.0,34.0,15.0,69.0,15907059
20.0,6.0,52.0,27.0,10.0,62.0,15907061
5.0,0.0,16.0,6.0,0.0,13.0,15907064
36.0,16.0,70.0,34.0,17.0,73.0,15907101
29.0,12.0,60.0,31.0,15.0,63.0,15907103
45.0,22.0,75.0,46.0,25.0,75.0,15907105
26.0,11.0,62.0,28.0,11.0,65.0,15907106
36.0,17.0,66.0,44.0,21.0,73.0,15907107
25.0,9.0,57.0,23.0,8.0,54.0,15907110
31.0,13.0,63.0,31.0,14.0,64.0,15907112
31.0,12.0,59.0,34.0,15.0,59.0,15907114
30.0,11.0,66.0,26.0,12.0,69.0,15907116
41.0,19.0,72.0,36.0,20.0,73.0,15907117
26.0,10.0,62.0,28.0,11.0,63.0,15907118
25.0,11.0,53.0,23.0,11.0,51.0,15907119
24.0,11.0,60.0,24.0,10.0,61.0,15907121
27.0,12.0,58.0,27.0,13.0,59.0,15907123
37.0,15.0,74.0,37.0,15.0,75.0,15907124
27.0,10.0,62.0,22.0,7.0,61.0,15907125
44.0,22.0,74.0,42.0,19.0,77.0,15907126
42.0,21.0,76.0,37.0,15.0,76.0,15907127
35.0,16.0,71.0,33.0,15.0,71.0,15907129
28.0,12.0,59.0,26.0,13.0,57.0,15907131
23.0,8.0,54.0,23.0,6.0,53.0,15907132
43.0,20.0,76.0,40.0,20.0,76.0,15907134
51.0,27.0,77.0,43.0,25.0,73.0,15907135
31.0,11.0,62.0,31.0,11.0,64.0,15907136
23.0,10.0,52.0,25.0,10.0,53.0,15907137
21.0,10.0,49.0,23.0,8.0,55.0,15907139
20.0,7.0,57.0,22.0,6.0,62.0,15907140
30.0,12.0,65.0,33.0,15.0,65.0,15907141
30.0,9.0,67.0,26.0,7.0,63.0,15907142
35.0,13.0,75.0,36.0,14.0,79.0,15907143
25.0,11.0,61.0,26.0,10.0,64.0,15907144
35.0,15.0,71.0,38.0,16.0,72.0,15907146
21.0,8.0,53.0,24.0,9.0,53.0,15907147
32.0,11.0,65.0,29.0,11.0,67.0,15907148
33.0,12.0,66.0,29.0,11.0,64.0,15907149
31.0,13.0,64.0,35.0,14.0,69.0,15907150
34.0,16.0,68.0,30.0,10.0,68.0,15907153
37.0,19.0,71.0,37.0,18.0,71.0,15907155
20.0,9.0,49.0,21.0,9.0,52.0,15907157
20.0,8.0,50.0,17.0,8.0,42.0,15907158
33.0,14.0,65.0,33.0,14.0,65.0,15907160
28.0,11.0,62.0,29.0,12.0,61.0,15907161
30.0,12.0,66.0,29.0,12.0,65.0,15907162
68.0,46.0,91.0,69.0,50.0,88.0,15907163
51.0,22.0,82.0,56.0,23.0,85.0,15907164
27.0,12.0,57.0,26.0,11.0,52.0,15907165
19.0,8.0,49.0,25.0,9.0,50.0,15907168
11.0,4.0,37.0,14.0,5.0,39.0,15907169
37.0,16.0,67.0,33.0,14.0,66.0,15907172
36.0,18.0,69.0,40.0,21.0,75.0,15907174
33.0,14.0,64.0,34.0,16.0,66.0,15907175
23.0,8.0,59.0,24.0,6.0,61.0,15907176
56.0,25.0,87.0,56.0,24.0,87.0,15907177
33.0,12.0,67.0,35.0,16.0,70.0,15907179
16.0,3.0,40.0,17.0,3.0,35.0,15907182
0.0,0.0,0.0,0.0,0.0,0.0,15907184
0.0,0.0,0.0,0.0,0.0,0.0,15907186
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15907195
0.0,0.0,0.0,0.0,0.0,0.0,15907201
43.0,18.0,74.0,38.0,19.0,71.0,15907210
45.0,12.0,72.0,37.0,4.0,60.0,15908001
28.0,9.0,65.0,29.0,12.0,63.0,15908041
30.0,10.0,63.0,28.0,13.0,59.0,15908042
30.0,12.0,65.0,31.0,16.0,63.0,15908044
29.0,12.0,65.0,30.0,15.0,70.0,15908104
27.0,12.0,63.0,23.0,11.0,58.0,15908105
27.0,14.0,64.0,24.0,14.0,67.0,15908106
34.0,15.0,68.0,33.0,15.0,69.0,15908107
25.0,10.0,56.0,28.0,11.0,60.0,15908108
28.0,12.0,68.0,27.0,12.0,67.0,15908109
30.0,11.0,64.0,36.0,15.0,65.0,15908110
25.0,10.0,57.0,26.0,11.0,56.0,15908112
