campname,cpe0312c,cpe0312p,cpetecoc,cpetecop,cpetlepc,cpetlepp,cpetspec,cpetspep,grdspan,CAMPUSID
SOUTH HOUSTON EL,232,40.299999,545,94.599998,333,57.799999,59,10.2,'PK - 04,101917118
SOUTH SHAVER EL,235,34.900002,629,93.5,343,51,79,11.7,'EE - 04,101917119
WILLIAMS ELEMENTARY,226,40.599998,511,91.900002,297,53.400002,53,9.5,'PK - 04,101917120
MCMASTERS EL,161,37.5,389,90.699997,168,39.200001,55,12.8,'EE - 04,101917122
STUCHBERY EL,271,39.5,602,87.800003,200,29.200001,46,6.6999998,'PK - 04,101917123
ATKINSON EL,196,43.700001,360,80.199997,151,33.599998,47,10.5,'KG - 04,101917124
JENSEN EL,224,35.099998,547,85.699997,240,37.599998,45,7.0999999,'PK - 04,101917125
BURNETT ELEMENTARY,157,36.400002,399,92.599998,163,37.799999,52,12.1,'EE - 04,101917126
FRAZIER EL,172,35.5,392,80.800003,100,20.6,82,16.9,'EE - 04,101917127
TEAGUE EL,267,37.799999,523,74.099998,246,34.799999,78,11,'PK - 04,101917128
MOORE EL,159,37.599998,316,74.699997,175,41.400002,42,9.8999996,'PK - 04,101917129
YOUNG EL,220,36.400002,568,94,357,59.099998,52,8.6000004,'EE - 04,101917130
SPARKS ELEMENTARY,139,32.900002,399,94.5,187,44.299999,54,12.8,'EE - 04,101917131
TURNER EL,237,39.799999,411,69.099998,37,6.1999998,69,11.6,'EE - 04,101917132
MORALES ELEMENTARY,168,34.599998,462,95.099998,218,44.900002,57,11.7,'EE - 04,101917133
MATTHYS EL,232,37,584,93.099998,348,55.5,62,9.8999996,'PK - 04,101917134
MORRIS MIDDLE,881,100,724,82.199997,190,21.6,100,11.4,'05 - 06,101917135
DE ZAVALA MIDDLE SCHOOL,688,100,668,97.099998,246,35.799999,68,9.8999996,'05 - 06,101917136
LAURA WELCH BUSH EL,260,39.900002,462,71,225,34.599998,50,7.6999998,'PK - 04,101917137
SOUTH BELT EL,249,41,370,61,69,11.4,75,12.4,'EE - 04,101917138
CARTER LOMAX MIDDLE,680,100,468,68.800003,115,16.9,63,9.3000002,'05 - 06,101917139
MELILLO MIDDLE,717,100,536,74.800003,74,10.3,93,13,'05 - 06,101917140
EARNESTEEN MILSTEAD MIDDLE,828,100,760,91.800003,292,35.299999,100,12.1,'05 - 06,101917141
RICK SCHNEIDER MIDDLE,761,100,710,93.300003,278,36.5,69,9.1000004,'05 - 06,101917142
BOBBY SHAW MIDDLE,789,100,742,94,302,38.299999,68,8.6000004,'05 - 06,101917143
KELLER MIDDLE,717,100,668,93.199997,182,25.4,81,11.3,'05 - 06,101917144
MARSHALL KENDRICK MIDDLE,821,100,748,91.099998,275,33.5,96,11.7,'05 - 06,101917145
NELDA SULLIVAN MIDDLE,594,100,554,93.300003,217,36.5,55,9.3000002,'05 - 06,101917146
FRED ROBERTS MIDDLE,612,100,528,86.300003,134,21.9,70,11.4,'05 - 06,101917147
THOMAS HANCOCK EL,139,31.799999,396,90.599998,133,30.4,28,6.4000001,'PK - 04,101917148
SPRING H S,2841,100,1703,59.900002,247,8.6999998,302,10.6,'02 - 12,101919001
WESTFIELD H S,2857,100,1639,57.400002,531,18.6,310,10.9,'09 - 12,101919002
ANDY DEKANEY H S,2141,100,1231,57.5,404,18.9,191,8.8999996,'09 - 12,101919003
CARL WUNSCHE SR H S,1473,100,950,64.5,128,8.6999998,67,4.5,'09 - 12,101919018
SPRING EARLY COLLEGE ACADEMY,420,100,279,66.400002,16,3.8,3,0.69999999,'09 - 12,101919021
RICHEY ACADEMY,70,100,41,58.599998,4,5.6999998,10,14.3,'06 - 12,101919022
EDWIN M WELLS MIDDLE,1130,100,761,67.300003,328,29,113,10,'06 - 08,101919043
DUEITT MIDDLE,1209,100,760,62.900002,207,17.1,135,11.2,'06 - 08,101919044
TWIN CREEKS MIDDLE,984,100,647,65.800003,153,15.5,103,10.5,'06 - 08,101919045
