campname,cpe0312c,cpe0312p,cpetecoc,cpetecop,cpetlepc,cpetlepp,cpetspec,cpetspep,grdspan,CAMPUSID
SMITH H S,1966,100,1348,68.599998,410,20.9,191,9.6999998,'09 - 12,57903002
GRIMES EDUCATION CENTER,58,100,33,56.900002,9,15.5,3,5.1999998,'10 - 12,57903003
SALAZAR DISTRICT ALTERNATIVE EDUCA,77,96.300003,63,78.800003,12,15,9,11.3,'KG - 12,57903005
CREEKVIEW H S,1866,100,975,52.299999,254,13.6,184,9.8999996,'09 - 12,57903006
RANCHVIEW H S,910,100,470,51.599998,80,8.8000002,127,14,'09 - 12,57903007
DALLAS COUNTY JJAEP CFB CAMPUS,6,100,5,83.300003,1,16.700001,2,33.299999,'08 - 10,57903009
EARLY COLLEGE H S,337,100,263,78,21,6.1999998,1,0.30000001,'09 - 12,57903010
FIELD MIDDLE,1028,100,845,82.199997,402,39.099998,133,12.9,'06 - 08,57903041
PERRY MIDDLE,1000,100,768,76.800003,525,52.5,125,12.5,'06 - 08,57903042
LONG MIDDLE,647,100,530,81.900002,210,32.5,100,15.5,'06 - 08,57903044
BLALACK MIDDLE,1044,100,612,58.599998,208,19.9,140,13.4,'06 - 08,57903045
POLK MIDDLE,1040,100,770,74,309,29.700001,133,12.8,'06 - 08,57903046
BUSH MIDDLE,677,100,418,61.700001,60,8.8999996,82,12.1,'06 - 08,57903047
CARROLLTON EL,255,44.599998,488,85.300003,401,70.099998,99,17.299999,'EE - 05,57903102
CENTRAL EL,269,47.299999,510,89.599998,401,70.5,68,12,'PK - 05,57903103
GOOD EL,250,46.599998,435,81.199997,332,61.900002,66,12.3,'EE - 05,57903105
STARK EL,286,38.299999,409,54.799999,335,44.900002,50,6.6999998,'EE - 05,57903106
FARMERS BRANCH EL,255,49.099998,427,82.300003,253,48.700001,85,16.4,'EE - 05,57903109
BLANTON EL,234,54.799999,338,79.199997,213,49.900002,62,14.5,'KG - 05,57903110
THOMPSON EL,257,51.700001,355,71.400002,218,43.900002,65,13.1,'EE - 05,57903111
COUNTRY PLACE EL,185,44.400002,190,45.599998,48,11.5,72,17.299999,'EE - 05,57903112
DAVIS EL,273,54.299999,413,82.099998,304,60.400002,66,13.1,'KG - 05,57903113
MCCOY EL,244,53.5,151,33.099998,60,13.2,65,14.3,'KG - 05,57903114
FURNEAUX EL,150,33.299999,304,67.400002,112,24.799999,83,18.4,'PK - 05,57903116
HUIE SPECIAL EDUC CTR,42,100,18,42.900002,0,0,42,100,'12 - 12,57903117
ROSEMEADE EL,185,47.599998,159,40.900002,38,9.8000002,57,14.7,'KG - 05,57903118
LAS COLINAS EL,264,45.599998,143,24.700001,116,20,66,11.4,'KG - 05,57903120
LANDRY EL,150,53.599998,220,78.599998,38,13.6,28,10,'KG - 05,57903121
KENT EL,212,40.099998,241,45.599998,95,18,71,13.4,'EE - 05,57903122
RIVERCHASE ELE,156,33.599998,221,47.599998,167,36,63,13.6,'EE - 05,57903123
MCKAMY EL,222,41.599998,404,75.699997,126,23.6,104,19.5,'EE - 05,57903124
SHEFFIELD EL,325,49.700001,583,89.099998,207,31.700001,90,13.8,'KG - 05,57903125
RAINWATER EL,200,55.700001,186,51.799999,39,10.9,55,15.3,'KG - 05,57903126
FREEMAN EL,220,32.200001,237,34.599998,298,43.599998,65,9.5,'EE - 05,57903128
MCWHORTER EL,226,40.400002,489,87.300003,135,24.1,58,10.4,'PK - 05,57903129
BLAIR EL,280,51.900002,467,86.599998,307,57,90,16.700001,'KG - 05,57903131
LA VILLITA EL,348,38.799999,173,19.299999,201,22.4,70,7.8000002,'KG - 05,57903132
MCLAUGHLIN STRICKLAND EL,303,56.599998,474,88.599998,290,54.200001,43,8,'KG - 05,57903135
CEDAR HILL H S,2266,100,1363,60.200001,60,2.5999999,227,10,'09 - 12,57904001
CEDAR HILL COLLEGIATE H S,371,100,158,42.599998,21,5.6999998,1,0.30000001,'09 - 12,57904003
JJAEP,1,100,0,0,0,0,0,0,'05 - 05,57904007
W S PERMENTER MIDDLE,800,100,591,73.900002,49,6.0999999,73,9.1000004,'06 - 08,57904041
BESSIE COLEMAN MIDDLE,769,100,529,68.800003,39,5.0999999,68,8.8000002,'06 - 08,57904042
CEDAR HILL COLLEGIATE ACADEMY,300,100,148,49.299999,22,7.3000002,3,1,'06 - 08,57904043
BRAY EL,128,51,180,71.699997,8,3.2,17,6.8000002,'PK - 05,57904101
PLUMMER EL,315,51.900002,503,82.900002,28,4.5999999,43,7.0999999,'PK - 05,57904102
HIGH POINTE EL,213,52.700001,348,86.099998,29,7.1999998,24,5.9000001,'PK - 05,57904104
HIGHLANDS EL,302,50,519,85.900002,277,45.900002,34,5.5999999,'PK - 05,57904105
WATERFORD OAKS EL,297,51.400002,444,76.800003,20,3.5,71,12.3,'EE - 05,57904107
LAKERIDGE EL,165,50.299999,217,66.199997,14,4.3000002,71,21.6,'EE - 05,57904108
CEDAR HILL COLLEGIATE PREP,222,44.400002,237,47.400002,18,3.5999999,6,1.2,'PK - 05,57904110
BRYAN ADAMS H S,2164,100,1902,87.900002,783,36.200001,211,9.8000002,'09 - 12,57905001
W H ADAMSON H S,1619,100,1515,93.599998,662,40.900002,111,6.9000001,'09 - 12,57905002
NEW TECH H S AT B F DARRELL H S,270,100,247,91.5,79,29.299999,13,4.8000002,'09 - 12,57905003
MOISES E MOLINA H S,2254,100,1972,87.5,734,32.599998,179,7.9000001,'09 - 12,57905005
HILLCREST H S,1201,100,885,73.699997,476,39.599998,87,7.1999998,'09 - 12,57905006
THOMAS JEFFERSON H S,1722,100,1353,78.599998,1012,58.799999,138,8,'09 - 12,57905007
JUSTIN F KIMBALL H S,1445,100,1144,79.199997,536,37.099998,140,9.6999998,'08 - 12,57905008
LINCOLN HUMANITIES/COMMUNICATIONS,645,100,590,91.5,88,13.6,105,16.299999,'09 - 12,57905009
BARBARA M MANNS MIDDLE DAEP,70,100,62,88.599998,29,41.400002,8,11.4,'06 - 08,57905011
L G PINKSTON H S,1283,100,1233,96.099998,495,38.599998,149,11.6,'07 - 12,57905012
FRANKLIN D ROOSEVELT H S,727,100,685,94.199997,235,32.299999,79,10.9,'09 - 12,57905013
W W SAMUELL H S,1941,100,1779,91.699997,914,47.099998,203,10.5,'09 - 12,57905014
SEAGOVILLE H S,1514,100,1305,86.199997,539,35.599998,174,11.5,'09 - 12,57905015
SOUTH OAK CLIFF H S,1073,100,1016,94.699997,199,18.5,161,15,'09 - 12,57905016
H GRADY SPRUCE H S,1826,100,1652,90.5,1040,57,241,13.2,'09 - 12,57905017
SUNSET H S,2026,100,1594,78.699997,711,35.099998,181,8.8999996,'09 - 12,57905018
W T WHITE H S,2207,100,1543,69.900002,911,41.299999,160,7.1999998,'09 - 12,57905021
WOODROW WILSON H S,1951,100,925,47.400002,581,29.799999,180,9.1999998,'09 - 12,57905022
DAVID W CARTER H S,1181,100,896,75.900002,230,19.5,146,12.4,'09 - 12,57905023
NORTH DALLAS H S,1060,100,961,90.699997,447,42.200001,122,11.5,'09 - 12,57905024
SKYLINE H S,4229,100,3157,74.699997,1012,23.9,294,7,'09 - 12,57905025
SCHOOL OF SCIENCE AND ENGINEERING,497,100,264,53.099998,23,4.5999999,3,0.60000002,'09 - 12,57905026
EMMETT J CONRAD H S,1289,100,1063,82.5,692,53.700001,117,9.1000004,'09 - 12,57905028
BARBARA M MANNS H S DAEP,107,100,86,80.400002,40,37.400002,10,9.3000002,'09 - 12,57905029
MAYA ANGELOU H S,18,100,17,94.400002,3,16.700001,0,0,'07 - 12,57905030
JAMES MADISON H S,490,100,438,89.400002,135,27.6,54,11,'09 - 12,57905032
SCHOOL OF BUSINESS AND MANAGEMENT,505,100,348,68.900002,52,10.3,1,0.2,'09 - 12,57905033
BOOKER T WASHINGTON SPVA MAGNET,999,100,317,31.700001,28,2.8,13,1.3,'09 - 12,57905034
IRMA RANGEL YOUNG WOMEN'S LEADERSH,549,100,392,71.400002,85,15.5,0,0,'06 - 12,57905035
SCHOOL OF HEALTH PROFESSIONS,549,100,404,73.599998,21,3.8,2,0.40000001,'09 - 12,57905036
ROSIE SORRELLS EDUCATION AND SOCIA,306,100,217,70.900002,32,10.5,3,1,'09 - 12,57905037
JUDGE BAREFOOT SANDERS LAW MAGNET,409,100,305,74.599998,22,5.4000001,0,0,'09 - 12,57905038
SCHOOL FOR THE TALENTED AND GIFTED,359,100,124,34.5,18,5,1,0.30000001,'09 - 12,57905039
WILLIAM HAWLEY ATWELL LAW ACADEMY,785,100,781,99.5,151,19.200001,103,13.1,'06 - 08,57905042
T W BROWNE MIDDLE,570,100,554,97.199997,220,38.599998,64,11.2,'06 - 08,57905043
EDWARD H CARY MIDDLE,590,100,556,94.199997,450,76.300003,52,8.8000002,'06 - 08,57905044
E B COMSTOCK MIDDLE,798,100,794,99.5,380,47.599998,96,12,'06 - 08,57905045
YOUNG MEN'S LEADERSHIP ACADEMY AT,870,100,764,87.800003,518,59.5,89,10.2,'06 - 08,57905046
BENJAMIN FRANKLIN INTERNATIONAL EX,1103,100,901,81.699997,561,50.900002,98,8.8999996,'06 - 08,57905047
W H GASTON MIDDLE,939,100,877,93.400002,519,55.299999,92,9.8000002,'06 - 08,57905048
W E GREINER EXPLORATORY ARTS ACADE,1796,100,1383,77,750,41.799999,113,6.3000002,'06 - 08,57905049
ROBERT T HILL MIDDLE,862,100,756,87.699997,463,53.700001,85,9.8999996,'06 - 08,57905050
OLIVER WENDELL HOLMES HUMANITIES/C,714,100,706,98.900002,159,22.299999,87,12.2,'06 - 08,57905051
PIEDMONT GLOBAL ACADEMY,1028,100,952,92.599998,606,58.900002,126,12.3,'06 - 08,57905052
J L LONG MIDDLE,1474,100,956,64.900002,418,28.4,161,10.9,'06 - 08,57905053
THOMAS C MARSH MIDDLE,963,100,862,89.5,651,67.599998,78,8.1000004,'06 - 08,57905054
THOMAS J RUSK MIDDLE,648,100,628,96.900002,363,56,81,12.5,'06 - 08,57905055
EWELL D WALKER MIDDLE,738,100,647,87.699997,381,51.599998,64,8.6999998,'06 - 08,57905056
ALEX W SPENCE TALENTED/GIFTED ACAD,713,100,596,83.599998,251,35.200001,67,9.3999996,'06 - 08,57905058
L V STOCKARD MIDDLE,1137,100,1018,89.5,658,57.900002,125,11,'06 - 08,57905059
BOUDE STOREY MIDDLE,528,100,516,97.699997,207,39.200001,94,17.799999,'06 - 08,57905060
BILLY EARL DADE MIDDLE,879,100,878,99.900002,227,25.799999,135,15.4,'06 - 08,57905062
RAUL QUINTANILLA SR MIDDLE,691,100,648,93.800003,388,56.200001,81,11.7,'06 - 08,57905068
SEAGOVILLE MIDDLE,1380,100,1259,91.199997,711,51.5,159,11.5,'06 - 08,57905069
DALLAS ENVIRONMENTAL SCIENCE ACADE,460,100,395,85.900002,110,23.9,9,2,'06 - 08,57905071
SARAH ZUMWALT MIDDLE,396,100,392,99,67,16.9,47,11.9,'06 - 08,57905072
HENRY W LONGFELLOW CAREER EXPLORAT,429,100,331,77.199997,154,35.900002,7,1.6,'06 - 08,57905073
HAROLD WENDELL LANG SR MIDDLE,870,100,786,90.300003,357,41,104,12,'06 - 08,57905076
HECTOR P GARCIA MIDDLE,781,100,719,92.099998,505,64.699997,88,11.3,'06 - 08,57905077
FRANCISCO MEDRANO MIDDLE,943,100,906,96.099998,723,76.699997,88,9.3000002,'06 - 08,57905079
SAM TASBY MIDDLE,919,100,904,98.400002,684,74.400002,80,8.6999998,'06 - 08,57905083
KATHLYN JOY GILLIAM COLLEGIATE ACA,373,100,296,79.400002,88,23.6,1,0.30000001,'09 - 12,57905085
TRINIDAD GARZA EARLY COLLEGE AT MT,438,100,379,86.5,35,8,5,1.1,'09 - 12,57905088
DR WRIGHT L LASSITER JR EARLY COLL,245,100,183,74.699997,29,11.8,1,0.40000001,'09 - 12,57905090
JUVENILE JUSTICE AEP,10,100,7,70,2,20,1,10,'04 - 11,57905096
HOSPITAL/HOMEBOUND,84,91.300003,37,40.200001,5,5.4000001,1,1.1,'EE - 12,57905099
ZAN WESLEY HOLMES JR MIDDLE,855,100,796,93.099998,532,62.200001,94,11,'06 - 08,57905100
JOHN Q ADAMS EL,379,52.299999,702,97,487,67.300003,49,6.8000002,'PK - 05,57905101
PREK PARTNERSHIP CENTER,0,0,2011,93,289,13.4,16,0.69999999,'PK - PK,57905102
GABE P ALLEN CHARTER SCHOOL,244,48.5,494,98.199997,182,36.200001,63,12.5,'PK - 06,57905103
WILLIAM M ANDERSON EL,304,44.799999,666,98.199997,459,67.699997,38,5.5999999,'PK - 05,57905104
ARCADIA PARK EL,367,52.400002,634,90.599998,388,55.400002,62,8.8999996,'PK - 06,57905105
JOSE 'JOE' MAY EL,277,41,664,98.400002,550,81.5,54,8,'PK - 05,57905107
BAYLES EL,212,43.200001,483,98.400002,251,51.099998,36,7.3000002,'PK - 05,57905108
W A BLAIR EL,267,45.299999,569,96.400002,253,42.900002,36,6.0999999,'PK - 05,57905109
ANNIE WEBB BLANTON EL,290,44.099998,628,95.599998,404,61.5,50,7.5999999,'EE - 05,57905110
JAMES BOWIE EL,213,45.5,458,97.900002,328,70.099998,31,6.5999999,'PK - 05,57905112
JOHN NEELY BRYAN EL,183,46.799999,386,98.699997,122,31.200001,30,7.6999998,'PK - 05,57905114
HARRELL BUDD EL,206,42.299999,480,98.599998,232,47.599998,37,7.5999999,'PK - 05,57905115
DAVID G BURNET EL,297,46.099998,637,98.900002,552,85.699997,49,7.5999999,'PK - 05,57905116
RUFUS C BURLESON EL,308,49.799999,610,98.5,267,43.099998,40,6.5,'PK - 05,57905117
W W BUSHMAN EL,184,43.5,422,99.800003,119,28.1,30,7.0999999,'PK - 05,57905118
CHAPEL HILL PREPARATORY-A PERSONAL,204,43,449,94.699997,340,71.699997,55,11.6,'PK - 05,57905119
F P CAILLET EL,330,49.400002,614,91.900002,502,75.099998,75,11.2,'EE - 05,57905120
JOHN W CARPENTER EL,148,48.200001,294,95.800003,62,20.200001,20,6.5,'EE - 05,57905121
C F CARR EL,190,56,337,99.400002,116,34.200001,29,8.6000004,'PK - 06,57905122
CASA VIEW EL,295,42.700001,641,92.800003,441,63.799999,74,10.7,'EE - 05,57905125
CENTRAL EL,231,39.400002,538,91.699997,221,37.599998,82,14,'PK - 05,57905126
MARTIN LUTHER KING JR LEARNING CEN,208,49.799999,418,100,84,20.1,27,6.5,'PK - 05,57905128
S S CONNER EL,230,39.200001,577,98.5,224,38.200001,55,9.3999996,'PK - 05,57905129
LEILA P COWART EL,234,40.599998,548,95,363,62.900002,57,9.8999996,'EE - 05,57905130
IGNACIO ZARAGOZA EL,140,41.700001,318,94.599998,201,59.799999,30,8.8999996,'EE - 05,57905131
BARBARA JORDAN EL,262,42,615,98.599998,415,66.5,45,7.1999998,'PK - 05,57905133
GEORGE B DEALEY MONTESSORI ACADEMY,407,67.400002,151,25,30,5,30,5,'PK - 08,57905134
EVERETTE LEE DEGOLYER EL,191,50.5,220,58.200001,145,38.400002,32,8.5,'PK - 05,57905135
L O DONALD EL,213,49.400002,397,92.099998,268,62.200001,44,10.2,'PK - 05,57905136
JULIUS DORSEY EL,221,48.5,438,96.099998,274,60.099998,36,7.9000001,'PK - 05,57905137
PAUL L DUNBAR LEARNING CENTER,251,51.5,476,97.699997,83,17,62,12.7,'PK - 05,57905139
JILL STONE EL AT VICKERY MEADOW,162,48.400002,333,99.400002,285,85.099998,15,4.5,'PK - 05,57905141
J N ERVIN EL,242,42.599998,568,100,85,15,56,9.8999996,'EE - 05,57905142
TOM W FIELD EL,128,57.099998,210,93.800003,141,62.900002,19,8.5,'EE - 05,57905144
STEPHEN C FOSTER EL,295,42.799999,643,93.300003,535,77.599998,97,14.1,'EE - 05,57905145
CHARLES A GILL EL,347,43.900002,733,92.800003,442,55.900002,56,7.0999999,'PK - 05,57905147
TOM C GOOCH EL,141,32.599998,392,90.5,280,64.699997,75,17.299999,'PK - 05,57905148
LENORE KIRK HALL EL,240,47.400002,475,93.900002,345,68.199997,37,7.3000002,'PK - 05,57905149
MARGARET B HENDERSON EL,194,42.5,414,90.800003,266,58.299999,21,4.5999999,'PK - 05,57905152
VICTOR H HEXTER EL,236,42.400002,290,52.099998,137,24.6,46,8.3000002,'PK - 05,57905153
LARRY G SMITH EL,340,42.400002,749,93.400002,424,52.900002,79,9.8999996,'EE - 05,57905154
C A TATUM JR EL,278,59.799999,452,97.199997,176,37.799999,51,11,'KG - 05,57905155
NATHANIEL HAWTHORNE EL,195,41.099998,452,95.400002,317,66.900002,65,13.7,'EE - 05,57905156
JAMES S HOGG EL,106,39.099998,246,90.800003,115,42.400002,44,16.200001,'PK - 05,57905157
LIDA HOOE EL,185,43.799999,378,89.599998,192,45.5,36,8.5,'PK - 05,57905158
L L HOTCHKISS EL,324,44.900002,703,97.5,428,59.400002,41,5.6999998,'PK - 05,57905159
PERSONALIZED LEARNING PREPARATORY,78,38.400002,162,79.800003,96,47.299999,30,14.8,'PK - 05,57905160
JOHN IRELAND EL,207,41.799999,492,99.400002,325,65.699997,19,3.8,'PK - 05,57905161
MOCKINGBIRD EL,305,45.5,146,21.799999,64,9.6000004,65,9.6999998,'KG - 05,57905162
CEDAR CREST EL,170,48,342,96.599998,95,26.799999,50,14.1,'PK - 05,57905163
ANSON JONES EL,354,53.700001,633,96.099998,441,66.900002,57,8.6000004,'EE - 06,57905164
EDWIN J KIEST EL,333,46.5,664,92.699997,456,63.700001,42,5.9000001,'PK - 05,57905166
KLEBERG EL,299,43,634,91.099998,372,53.400002,80,11.5,'PK - 05,57905167
OBADIAH KNIGHT EL,199,43.400002,423,92.199997,343,74.699997,22,4.8000002,'PK - 05,57905168
ARTHUR KRAMER EL,233,37.099998,425,67.699997,230,36.599998,106,16.9,'EE - 05,57905169
RICHARD LAGOW EL,250,46.5,500,92.900002,281,52.200001,40,7.4000001,'PK - 05,57905170
LAKEWOOD EL,382,40.599998,62,6.5999999,34,3.5999999,54,5.6999998,'KG - 05,57905171
JIMMIE TYLER BRASHEAR EL,297,44.400002,559,83.599998,341,51,47,7,'EE - 05,57905172
SIDNEY LANIER EXPRESSIVE ARTS VANG,416,66.5,503,80.400002,286,45.700001,54,8.6000004,'PK - 06,57905173
GENEVA HEIGHTS EL,143,35.700001,263,65.599998,95,23.700001,65,16.200001,'EE - 05,57905174
UMPHREY LEE EL,240,49.700001,474,98.099998,166,34.400002,48,9.8999996,'PK - 05,57905175
JACK LOWE SR EL,223,35.900002,620,99.800003,544,87.599998,53,8.5,'PK - 05,57905176
WILLIAM LIPSCOMB EL,200,44.299999,375,83.099998,203,45,28,6.1999998,'PK - 05,57905177
H I HOLLAND EL AT LISBON,175,43.599998,388,96.800003,172,42.900002,49,12.2,'EE - 05,57905178
B H MACON EL,240,44.400002,519,96.099998,340,63,44,8.1000004,'PK - 05,57905180
MAPLE LAWN EL,361,52.900002,662,96.900002,345,50.5,79,11.6,'EE - 05,57905181
HERBERT MARCUS EL,332,44.599998,719,96.599998,614,82.5,82,11,'PK - 05,57905182
THOMAS L MARSALIS EL,221,46.400002,433,91,87,18.299999,35,7.4000001,'EE - 05,57905183
BEN MILAM EL,140,46.099998,252,82.900002,124,40.799999,28,9.1999998,'PK - 05,57905184
WILLIAM B MILLER EL,154,52.700001,286,97.900002,173,59.200001,33,11.3,'PK - 05,57905185
ROGER Q MILLS EL,125,44.5,274,97.5,131,46.599998,9,3.2,'PK - 05,57905186
NANCY MOSELEY EL,322,42.799999,705,93.800003,465,61.799999,100,13.3,'EE - 05,57905187
MOUNT AUBURN STEAM ACADEMY,285,49.099998,545,94,320,55.200001,53,9.1000004,'PK - 05,57905188
CLARA OLIVER EL,122,44.5,262,95.599998,89,32.5,35,12.8,'PK - 05,57905189
GEORGE PEABODY EL,292,55.200001,511,96.599998,262,49.5,70,13.2,'PK - 06,57905190
ELISHA M PEASE EL,231,44.700001,514,99.400002,17,3.3,55,10.6,'PK - 05,57905191
JOHN F PEELER EL,114,41.799999,250,91.599998,188,68.900002,18,6.5999999,'PK - 05,57905192
JOHN J PERSHING EL,221,48,426,92.599998,280,60.900002,54,11.7,'EE - 05,57905193
K B POLK CENTER FOR ACADEMICALLY T,184,45,372,91,211,51.599998,60,14.7,'PK - 05,57905194
PRESTON HOLLOW EL,177,39.400002,376,83.699997,275,61.200001,42,9.3999996,'PK - 05,57905195
JOHN H REAGAN EL,154,44.599998,328,95.099998,227,65.800003,38,11,'PK - 05,57905197
MARTHA TURNER REILLY EL,226,40.900002,443,80.099998,244,44.099998,72,13,'PK - 05,57905198
REINHARDT EL,254,49.299999,451,87.599998,272,52.799999,44,8.5,'PK - 05,57905199
JOSEPH J RHOADS LEARNING CENTER,289,45,626,97.5,227,35.400002,36,5.5999999,'PK - 05,57905200
CHARLES RICE LEARNING CENTER,220,40.599998,522,96.300003,29,5.4000001,45,8.3000002,'PK - 05,57905201
ORAN M ROBERTS EL,244,43.200001,530,93.800003,310,54.900002,31,5.5,'PK - 05,57905202
DAN D ROGERS EL,198,39.099998,393,77.699997,278,54.900002,65,12.8,'PK - 05,57905203
ROSEMONT EL,444,44.200001,657,65.400002,332,33,78,7.8000002,'EE - 05,57905204
CLINTON P RUSSELL EL,314,46.799999,613,91.400002,433,64.5,37,5.5,'PK - 05,57905205
ALEX SANGER PREPARATORY SCHOOL,428,60.5,550,77.699997,329,46.5,53,7.5,'PK - 08,57905206
SAN JACINTO EL,190,40.5,460,98.099998,299,63.799999,36,7.6999998,'PK - 05,57905207
SEAGOVILLE EL,320,45.299999,630,89.099998,335,47.400002,50,7.0999999,'EE - 05,57905208
ASCHER SILBERSTEIN EL,334,47.400002,666,94.599998,486,69,53,7.5,'PK - 05,57905209
LESLIE A STEMMONS EL,326,45.900002,641,90.199997,462,65,61,8.6000004,'PK - 05,57905210
STEVENS PARK EL,386,54.400002,705,99.300003,416,58.599998,65,9.1999998,'PK - 06,57905211
HARRY STONE MONTESSORI ACADEMY,411,64.400002,367,57.5,137,21.5,11,1.7,'PK - 08,57905212
T G TERRY EL,158,40.5,374,95.900002,198,50.799999,23,5.9000001,'PK - 05,57905213
R L THORNTON EL,153,51.299999,284,95.300003,13,4.4000001,37,12.4,'PK - 05,57905215
EDWARD TITCHE EL,282,42.799999,654,99.199997,294,44.599998,48,7.3000002,'PK - 05,57905216
WILLIAM B TRAVIS VANGUARD ACAD OF,521,100,81,15.5,17,3.3,11,2.0999999,'04 - 08,57905217
GEORGE W TRUETT EL,492,44.599998,1079,97.800003,558,50.599998,64,5.8000002,'PK - 05,57905218
ADELLE TURNER EL,133,52.200001,206,80.800003,8,3.0999999,27,10.6,'PK - 05,57905219
MARK TWAIN LEADERSHIP VANGUARD,110,43.5,246,97.199997,77,30.4,42,16.6,'EE - 05,57905220
URBAN PARK EL,287,47.299999,586,96.5,417,68.699997,42,6.9000001,'PK - 05,57905222
WALNUT HILL EL,112,29.700001,284,75.300003,199,52.799999,21,5.5999999,'PK - 05,57905224
DANIEL WEBSTER EL,218,48.799999,431,96.400002,174,38.900002,69,15.4,'EE - 05,57905225
MARTIN WEISS EL,242,47.5,502,98.599998,257,50.5,44,8.6000004,'PK - 05,57905226
WINNETKA EL,411,46.5,824,93.199997,519,58.700001,52,5.9000001,'PK - 05,57905229
HARRY C WITHERS EL,163,37.599998,216,49.799999,152,35,46,10.6,'PK - 05,57905230
EDNA ROWE EL,201,43.799999,424,92.400002,206,44.900002,54,11.8,'PK - 05,57905232
NATHAN ADAMS EL,217,45.5,432,90.599998,318,66.699997,34,7.0999999,'PK - 05,57905233
HENRY B GONZALEZ EL,291,46.900002,585,94.199997,459,73.900002,30,4.8000002,'EE - 05,57905234
BIRDIE ALEXANDER EL,125,36.400002,336,98,47,13.7,49,14.3,'PK - 05,57905235
NANCY J COCHRAN EL,206,40.799999,492,97.400002,229,45.299999,44,8.6999998,'EE - 05,57905236
JOHN W RUNYON EL,263,47.599998,530,95.800003,261,47.200001,45,8.1000004,'PK - 05,57905237
ARTURO SALAZAR EL,269,48.400002,502,90.300003,323,58.099998,38,6.8000002,'EE - 05,57905239
FRANK GUZICK EL,296,45.099998,631,96.199997,292,44.5,46,7,'PK - 05,57905240
ELEMENTARY' DISCIPLINARY ALTERNATI,11,100,10,90.900002,1,9.1000004,1,9.1000004,'03 - 05,57905241
SEAGOVILLE NORTH EL,371,47.900002,703,90.699997,444,57.299999,79,10.2,'PK - 05,57905244
ADELFA BOTELLO CALLEJO EL,277,45.700001,583,96.199997,374,61.700001,77,12.7,'PK - 05,57905247
WHITNEY M YOUNG JR EL,197,45.099998,436,99.800003,177,40.5,35,8,'EE - 05,57905250
LORENZO DE ZAVALA EL,204,46.200001,439,99.300003,270,61.099998,61,13.8,'PK - 06,57905260
J P STARKS EL,199,57.299999,339,97.699997,46,13.3,13,3.7,'EE - 06,57905263
RONALD E MCNAIR EL,267,44.5,587,97.800003,74,12.3,47,7.8000002,'PK - 05,57905264
ELADIO R MARTINEZ LEARNING CENTER,414,52.400002,779,98.599998,325,41.099998,85,10.8,'PK - 06,57905265
FREDERICK DOUGLASS EL,250,46.599998,518,96.599998,151,28.200001,59,11,'EE - 05,57905266
EDUARDO MATA EL,302,49.5,346,56.700001,200,32.799999,86,14.1,'PK - 06,57905270
JULIAN T SALDIVAR EL,284,42.700001,659,99.099998,583,87.699997,30,4.5,'PK - 05,57905271
MARIA MORENO EL,168,41.5,386,95.300003,237,58.5,64,15.8,'EE - 05,57905272
PLEASANT GROVE EL,230,42.900002,522,97.400002,307,57.299999,46,8.6000004,'PK - 05,57905273
MARY MCLEOD BETHUNE EL,341,48.299999,611,86.5,399,56.5,69,9.8000002,'PK - 05,57905274
LOUISE WOLFF KAHN EL,333,51.799999,601,93.5,433,67.300003,33,5.0999999,'PK - 06,57905275
GILBERT CUELLAR SR EL,341,47.5,678,94.400002,424,59.099998,84,11.7,'PK - 05,57905276
THOMAS TOLBERT EL,229,47.200001,469,96.699997,203,41.900002,39,8,'PK - 05,57905277
LEONIDES GONZALEZ CIGARROA MD EL,219,41,527,98.699997,475,89,34,6.4000001,'PK - 05,57905278
JERRY R JUNKINS EL,282,43.700001,488,75.699997,238,36.900002,80,12.4,'PK - 05,57905279
ANNE FRANK EL,449,40.099998,865,77.300003,668,59.700001,74,6.5999999,'PK - 05,57905280
CESAR CHAVEZ LEARNING CENTER,361,52.299999,688,99.699997,272,39.400002,95,13.8,'PK - 05,57905281
ESPERANZA MEDRANO EL,166,42,381,96.5,238,60.299999,37,9.3999996,'PK - 05,57905283
HIGHLAND MEADOWS EL,312,39.099998,784,98.400002,483,60.599998,85,10.7,'EE - 05,57905284
N W HARLLEE EARLY CHILDHOOD CENTER,0,0,226,91.900002,40,16.299999,18,7.3000002,'EE - 02,57905285
LEE A MCSHAN JR EL,312,43.599998,702,98.199997,583,81.5,46,6.4000001,'PK - 05,57905286
CELESTINO MAURICIO SOTO JR EL,254,47,505,93.5,347,64.300003,46,8.5,'PK - 05,57905287
FELIX G BOTELLO EL,245,45.200001,515,95,387,71.400002,39,7.1999998,'PK - 05,57905289
ARLINGTON PARK EARLY CHILDHOOD CEN,0,0,91,90.099998,50,49.5,1,1,'PK - PK,57905300
WILMER-HUTCHINS EL,508,53.200001,888,93.099998,429,45,70,7.3000002,'PK - 05,57905301
THELMA ELIZABETH PAGE RICHARDSON E,336,48.5,660,95.199997,413,59.599998,54,7.8000002,'PK - 05,57905303
GEORGE HERBERT WALKER BUSH EL,304,43.700001,560,80.599998,276,39.700001,62,8.8999996,'EE - 05,57905304
EBBY HALLIDAY EL,296,44.400002,630,94.599998,416,62.5,51,7.6999998,'PK - 05,57905305
SOLAR PREPARATORY SCHOOL FOR GIRLS,172,37.400002,229,49.799999,78,17,24,5.1999998,'PK - 04,57905306
