cda00a001219r,cda00a001319r,cda00a001s19r,cda00ar01219r,cda00ar01319r,cda00ar01s19r,CAMPUSID
57,27,88,58,30,89,15831003
58,38,84,62,46,89,15831004
59,26,91,62,31,90,15831005
52,18,82,50,6,70,15833001
88,62,98,87,58,97,15834001
65,42,89,71,47,94,15834002
75,50,94,75,52,94,15834101
67,40,92,66,40,95,15835001
68,32,91,71,35,92,15835002
67,37,93,69,38,95,15835003
72,41,91,75,42,91,15835004
30,12,65,35,18,72,15835005
68,35,93,70,40,93,15836001
40,18,75,41,23,73,15838001
68,29,87,64,15,81,15901001
63,35,87,65,39,87,15901041
49,26,79,57,32,85,15901101
59,34,86,65,39,89,15901104
47,13,73,39,4,61,15904001
47,15,73,39,3,61,15904002
12,1,43,7,0,25,15904004
68,22,92,69,13,90,15904011
40,16,75,36,15,70,15904041
34,15,68,32,16,67,15904042
39,16,71,34,12,67,15904043
38,15,72,35,14,70,15904044
15,4,50,22,7,59,15904048
43,11,79,47,16,82,15904101
34,14,69,30,13,71,15904102
39,20,77,34,19,74,15904103
29,13,62,30,14,66,15904104
30,12,63,26,8,58,15904105
31,13,64,31,11,66,15904106
49,22,81,46,20,81,15904107
46,22,77,47,26,76,15904108
47,22,81,47,23,82,15904109
35,13,70,36,15,74,15904110
47,26,77,44,25,75,15904113
33,14,72,36,17,73,15904114
-1,-1,-1,-1,-1,-1,15904115
38,18,70,36,15,69,15904116
36,9,66,28,2,53,15905002
39,12,65,29,2,51,15905003
46,13,70,32,2,54,15905015
25,9,55,26,10,60,15905041
,,,,,,15905042
26,10,56,30,12,59,15905044
26,9,60,25,9,59,15905046
36,14,73,33,12,78,15905104
25,8,60,29,7,61,15905106
23,9,62,20,7,65,15905108
26,9,63,28,11,68,15905109
18,5,46,15,4,46,15905110
26,9,58,26,12,62,15905112
22,8,54,24,10,59,15905113
24,10,63,21,6,58,15905114
21,9,54,22,12,59,15905116
24,9,54,26,8,55,15905117
76,32,94,76,17,93,15906001
66,35,92,65,41,92,15906041
75,48,95,71,44,94,15906101
43,9,72,34,3,57,15907001
33,6,63,29,2,52,15907002
34,8,64,25,1,47,15907003
68,20,91,63,5,83,15907004
37,10,65,27,3,51,15907005
27,7,55,23,3,43,15907006
35,6,67,30,1,52,15907007
25,5,54,17,1,39,15907008
,,,,,,15907010
,,,,,,15907020
94,42,99,94,24,99,15907022
89,59,100,86,47,100,15907023
17,4,45,11,0,30,15907024
65,19,90,54,6,80,15907025
52,22,82,58,25,85,15907026
64,11,86,68,8,83,15907027
7,0,34,8,0,21,15907030
23,11,53,22,11,50,15907043
24,6,59,25,10,57,15907047
37,17,73,31,16,72,15907049
25,10,58,26,11,59,15907050
19,6,52,22,8,53,15907051
17,4,40,25,6,52,15907053
23,7,55,26,10,58,15907054
28,11,60,27,13,57,15907055
19,8,48,20,8,46,15907057
37,14,72,34,15,69,15907059
20,6,52,27,10,62,15907061
5,0,16,6,0,13,15907064
36,16,70,34,17,73,15907101
29,12,60,31,15,63,15907103
45,22,75,46,25,75,15907105
26,11,62,28,11,65,15907106
36,17,66,44,21,73,15907107
25,9,57,23,8,54,15907110
31,13,63,31,14,64,15907112
31,12,59,34,15,59,15907114
30,11,66,26,12,69,15907116
41,19,72,36,20,73,15907117
26,10,62,28,11,63,15907118
25,11,53,23,11,51,15907119
24,11,60,24,10,61,15907121
27,12,58,27,13,59,15907123
37,15,74,37,15,75,15907124
27,10,62,22,7,61,15907125
44,22,74,42,19,77,15907126
42,21,76,37,15,76,15907127
35,16,71,33,15,71,15907129
28,12,59,26,13,57,15907131
23,8,54,23,6,53,15907132
43,20,76,40,20,76,15907134
51,27,77,43,25,73,15907135
31,11,62,31,11,64,15907136
23,10,52,25,10,53,15907137
21,10,49,23,8,55,15907139
20,7,57,22,6,62,15907140
30,12,65,33,15,65,15907141
30,9,67,26,7,63,15907142
35,13,75,36,14,79,15907143
25,11,61,26,10,64,15907144
35,15,71,38,16,72,15907146
21,8,53,24,9,53,15907147
32,11,65,29,11,67,15907148
33,12,66,29,11,64,15907149
31,13,64,35,14,69,15907150
34,16,68,30,10,68,15907153
37,19,71,37,18,71,15907155
20,9,49,21,9,52,15907157
20,8,50,17,8,42,15907158
33,14,65,33,14,65,15907160
